Attribute_name,Display_name,Unit,Category,Description,Interpretation,Diverging,Scale
"GDP (USD billions)","GDP","USD billions",Economy,"Measure of overall economic size used in cross country economic comparisons","Used to indicate national capacity and not individual welfare distribution",FALSE,"linear"
"GDP (USD billions) (log scale)","GDP (log scale)","log10(USD billions)",Economy,"Log scaled representation of economic size for cross country comparison","Emphasizes relative differences between very large and smaller economies",FALSE,"log"
"GDP growth rate (%)","GDP growth rate","%",Economy,"Indicator of short term economic performance momentum and macroeconomic stability","Positive values support growth narratives while negative values signal stress or contraction",TRUE,"linear"
"GDP per capita (USD)","GDP per capita","USD",Economy,"Indicator of average economic development and material living standards","Commonly used to argue development gaps policy capacity and aid eligibility",FALSE,"linear"
"Government debt (% of GDP)","Government debt","% of GDP",Economy,"Measure of public debt burden and fiscal constraints in policy debates","Often cited to argue vulnerability financing limits or need for restructuring",FALSE,"linear"
"Trade openness (% of GDP)","Trade openness","% of GDP",Economy,"Measure of integration into global trade through imports and exports relative to GDP","Often cited in debates on globalization exposure and external vulnerability",FALSE,"linear"
"Unemployment rate (%)","Unemployment rate","%",Economy,"Indicator of labor market conditions and economic inclusion in development debates","Often cited to justify employment policy reforms or targeted economic assistance",FALSE,"linear"
"Country","Country","",Geography,"Sovereign state used as the unit of representation in MUN debate contexts","Used for identification filtering and comparison and not a numeric indicator",FALSE,"linear"
"Government type","Government type","",Geography,"Classification of political system and institutional structure in diplomatic contexts","Provides regime background and is not suitable for quantitative ranking",FALSE,"linear"
"Land area (km²)","Land area","km²",Geography,"Indicator of physical size and territorial scale relevant to geographic context","Used to contextualize population distribution resources and geographic constraints",FALSE,"linear"
Population density (people/km²),"Population density",people/km²,Geography,"Indicator of population concentration settlement patterns and spatial pressure","Used to contextualize urbanization infrastructure strain and resource stress",FALSE,"linear"
"Birth rate (per 1,000 population)","Birth rate","per 1,000 population",Population,"Indicator of fertility and population growth dynamics relevant to social policy","Higher values support arguments on youth share service demand and resource pressure",FALSE,"linear"
"Infant mortality rate (per 1,000 live births)","Infant mortality rate","per 1,000 live births",Population,"Key health and child welfare indicator in humanitarian and development discussions","Higher values often justify healthcare investment or international support",FALSE,"linear"
"Internet users (%)","Internet users","%",Population,"Indicator of digital access connectivity and information infrastructure readiness","Used to discuss digital divide service delivery and modernization capacity",FALSE,"linear"
"Literacy rate (%)","Literacy rate","%",Population,"Measure of basic educational attainment and human capital capacity","Higher values strengthen claims of education access and implementation readiness",FALSE,"linear"
"Median age (years)","Median age","years",Population,"Measure of population age structure relevant to long term social planning","Used to discuss aging pressures youth bulges and workforce dynamics",FALSE,"linear"
Total fertility rate (children/woman),"Total fertility rate",children/woman,Population,"Indicator of long term population growth potential and demographic transition stage","Higher values may raise concerns about schooling jobs and resource needs",FALSE,"linear"
"CO₂ emissions (Mt)","CO₂ emissions","Mt",Environment,"Indicator of total national contribution to global carbon emissions","Used to discuss aggregate impact mitigation expectations and global responsibility",FALSE,"linear"
"CO₂ emissions (Mt) (log scale)","CO₂ emissions (log scale)","log10(Mt)",Environment,"Log scaled representation of total emissions to compare large and small emitters","Highlights relative differences while reducing dominance of major emitters",FALSE,"log"
CO₂ per capita (t/person),"CO₂ per capita",t/person,Environment,"Measure of individual level emissions footprint and consumption linked impact","Used to argue responsibility fairness and per capita burden sharing",FALSE,"linear"
CO₂ per capita (t/person) (log scale),"CO₂ per capita (log scale)",log10(t/person),Environment,"Log scaled per capita emissions to compare proportional responsibility","Emphasizes differences without letting high outliers dominate comparisons",FALSE,"log"
Carbon intensity (t/USD),"Carbon intensity",t/USD,Environment,"Indicator of carbon efficiency in economic production and energy systems","Higher values suggest less sustainable pathways and higher mitigation difficulty",FALSE,"linear"
Carbon intensity (t/USD) (log scale),"Carbon intensity (log scale)",log10(t/USD),Environment,"Log scaled carbon intensity to compare efficiency across wide development levels","Highlights relative efficiency gaps across economies with different structures",FALSE,"log"
